title,objectid,filename,creator,contribution,publication,publisher,placeofpub,date,description,annotation,controlled-vocab,subject,page,issue,latitude,longitude,collection,identifier,format-original,type,format,language,rights,rightsstatement
"Cardenas, Indian Idol",Cardenas-Indian-Idol,,Alvin Josephy,author,Digest,,,1937-10-23,"Alvin Josephy on Mexican President Cardena's relationship with native Indians, written for Digest, Vol 1; No. 15, beginning on page 18",,,Mexico; indians,18,Vol 1; No. 15,,,"Alvin Josephy, Jr. Annotaged Bibliography",Cardenas-Indian-Idol,article,record,listing,eng,,
Bomb in a Pail of Water,Bomb-in-a-Pail-of-Water,,Alvin Josephy,author,Ken,,,1938-05-05,"Alvin Josephy interview with Leon Trotsky, written for Ken, Vol 1; No. 3, beginning on page 24",,Food,leon trotsky; ,24,Vol 1; No. 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",Bomb-in-a-Pail-of-Water,article,record,listing,eng,,
Condors Don't Pay Taxes,Condors-Don-t-Pay-Taxes,,Alvin Josephy,author,Blue Book,,,1951-06-01,"Alvin Josephy on California condor, written for Blue Book, Vol 93; No 2, beginning on page 52",,,California condor,52,Vol 93; No 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",Condors-Don-t-Pay-Taxes,article,record,listing,eng,,
The Naming of the Nez Perce,The-Naming-of-the-Nez-Perce,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,Montana,,,1955-10-01,"Alvin Josephy on History of the naming of the Nez Perce, written for Montana, Vol 5; No 4, beginning on page 1",,Nez Perce Language;Nez Perce Tribe;Nez Perce War and Aftermath,nez perce; naming; native americans,1,Vol 5; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Naming-of-the-Nez-Perce,article,record,url,eng,,
First 'Dude Ranch' Trip to the Untamed West,First-Dude-Ranch-Trip-to-the-Untamed-West,,Alvin Josephy,author,American Heritage,,,1956-02-01,"Alvin Josephy on Sir William Stewart's hunting party of 1843, written for American Heritage, Vol 7; No. 2, beginning on page 8",,,sir wiliam stewart; hunting,8,Vol 7; No. 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",First-Dude-Ranch-Trip-to-the-Untamed-West,article,record,listing,eng,,
The Lolo Trail,The-Lolo-Trail,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,Westerners,,,1958-01-01,"Alvin Josephy on Trader-explorer David Thompson and the history of Lolo Trail, written for Westerners, Vol 4; No 4, beginning on page 82",,Nez Perce Tribe;Trade;tribal government to government relations,lolo trail; david thompson; trade; exploration,82,Vol 4; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Lolo-Trail,article,record,url,eng,,
The Last Stand of Chief Joseph,The-Last-Stand-of-Chief-Joseph,https://catalog.sage.eou.edu/eg/opac/record/1393634,Alvin Josephy,author,American Heritage,,,1958-02-01,"Alvin Josephy on Nez Perce's great 1,300 miles fighting retreat, written for American Heritage, Vol 9; No. 2, beginning on page 36",,Atrocities against Indians;Indian uprisings;Indian-white relations;Nez Perce Tribe;Nez Perce War and Aftermath,nez perce; nez perce war; chief josephy; retreat; war; native americans,36,Vol 9; No. 2,,,"Alvin Josephy, Jr. Annotaged Bibliography",The-Last-Stand-of-Chief-Joseph,article,record,url,eng,,
Was America Discovered Before Columbus?,Was-America-Discovered-Before-Columbus-,https://catalog.sage.eou.edu/eg/opac/record/1559342,Alvin Josephy,author,American Heritage,,,1958-04-01,"Alvin Josephy on Portugese discovery of the New World by 1424, written for American Heritage, Vol 6; No. 3, beginning on page 16",,,portugese; discovery; new world,16,Vol 6; No. 3,,,"Alvin Josephy, Jr. Annotaged Bibliography",Was-America-Discovered-Before-Columbus-,article,record,url,eng,,
A Man to Match the Mountains,A-Man-to-Match-the-Mountains,,Alvin Josephy,author,American Heritage,,,1960-10-01,"Alvin Josephy on David Thompson, explorer and land geographer of the New World, written for American Heritage, Vol 11; No 6, beginning on page 60",,,david thompson; geography; map making,60,Vol 11; No 6,,,"Alvin Josephy, Jr. Annotaged Bibliography",A-Man-to-Match-the-Mountains,article,record,listing,eng,,
Revolt in the Pueblos,Revolt-in-the-Pueblos,https://catalog.sage.eou.edu/eg/opac/record/48515,Alvin Josephy,author,American Heritage,,,1961-06-01,"Alvin Josephy on Pueblo uprising of 1680, written for American Heritage, Vol 12; No 4, beginning on page 65",,,pueblo indians; uprising; war; native americans,65,Vol 12; No 4,,,"Alvin Josephy, Jr. Annotaged Bibliography",Revolt-in-the-Pueblos,article,record,url,eng,,
